Industry_x,Occupation,16+,16 to 19 ,20 to 24 ,25 to 34 ,35 to 44 ,45 to 54 ,55 to 64 ,65 years,Median,Industry_y,Total Number of workers,Total Median weekly earnings,"Number of workers, Men","Median weekly earnings, Men","Number of workers, Women","Median weekly earnings, women"
Healthcare,"Therapists,allother",221,1,9,73,53,43,28,15,39.9,Healthcare,142,983,29,0,114,947
Healthcare,Veterinarians,89,1,2,22,18,22,15,10,46.3,Healthcare,60,1840,20,0,40,0
Healthcare,Registerednurses,3159,2,159,801,707,735,617,137,43.5,Healthcare,2536,1150,283,1260,2253,1143
Healthcare,Nurseanesthetists,35,0,0,8,9,8,9,2,-,Healthcare,30,0,13,0,17,0
Healthcare,Nursemidwives,7,0,0,2,4,1,0,0,-,Healthcare,5,0,0,0,5,0
Healthcare,Nursepractitioners,175,0,1,35,50,42,36,12,44.7,Healthcare,141,1841,12,0,129,1832
Healthcare,"Healthdiagnosingandtreatingpractitioners,allother",39,0,1,6,9,12,9,3,-,Healthcare,15,0,3,0,12,0
Healthcare,Clinicallaboratorytechnologistsandtechnicians,376,3,42,98,71,85,58,19,41.4,Healthcare,297,890,94,1061,203,845
Healthcare,Dentalhygienists,168,0,10,46,34,36,35,7,43.4,Healthcare,78,1033,5,0,73,1028
Healthcare,Diagnosticrelatedtechnologistsandtechnicians,319,0,19,79,76,80,56,9,43.3,Healthcare,271,1162,85,1404,186,1041
Healthcare,Emergencymedicaltechniciansandparamedics,223,4,40,71,53,31,20,4,34.4,Healthcare,203,984,145,1119,58,733
Healthcare,Healthpractitionersupporttechnologistsandtechnicians,632,13,108,190,152,100,58,11,35.5,Healthcare,469,710,98,858,371,678
Healthcare,Licensedpracticalandlicensedvocationalnurses,630,5,50,148,145,141,105,37,42.6,Healthcare,501,815,62,817,438,814
Healthcare,Medicalrecordsandhealthinformationtechnicians,167,1,7,30,34,45,42,7,46.8,Healthcare,151,763,11,0,140,761
Healthcare,"Opticians,dispensing",48,1,4,11,5,10,12,6,-,Healthcare,43,0,13,0,30,0
Healthcare,Miscellaneoushealthtechnologistsandtechnicians,160,3,12,41,42,24,29,8,41.1,Healthcare,143,811,48,0,95,746
Healthcare,Otherhealthcarepractitionersandtechnicaloccupations,110,2,10,27,24,24,18,5,41.6,Healthcare,77,1183,49,0,28,0
