Industry_x,Occupation,16+,16 to 19 ,20 to 24 ,25 to 34 ,35 to 44 ,45 to 54 ,55 to 64 ,65 years,Median,Industry_y,Total Number of workers,Total Median weekly earnings,"Number of workers, Men","Median weekly earnings, Men","Number of workers, Women","Median weekly earnings, women"
Healthcare,Dietitians and nutritionists,114.0,0.0,5.0,30.0,21.0,26.0,24.0,9.0,44.3,Healthcare,88.0,991,8.0,–,80.0,996
Healthcare,Optometrists,51.0,0.0,0.0,9.0,7.0,23.0,8.0,5.0,49.9,Healthcare,19.0,–,6.0,–,13.0,–
Healthcare,Pharmacists,342.0,0.0,19.0,119.0,66.0,55.0,58.0,24.0,41,Healthcare,254.0,1923,107.0,2228,147.0,1834
Healthcare,Physicians and surgeons,1079.0,0.0,4.0,254.0,249.0,247.0,203.0,121.0,46.4,Healthcare,815.0,1918,463.0,2277,352.0,1759
Healthcare,Physician assistants,116.0,0.0,2.0,54.0,26.0,19.0,11.0,4.0,37.6,Healthcare,97.0,1747,31.0,–,66.0,1640
Healthcare,Podiatrists,12.0,0.0,1.0,0.0,5.0,3.0,1.0,2.0,0,Healthcare,7.0,–,3.0,–,4.0,–
Healthcare,Audiologists,15.0,0.0,1.0,5.0,2.0,5.0,2.0,0.0,0,Healthcare,13.0,–,1.0,–,12.0,–
Healthcare,Occupational therapists,122.0,0.0,3.0,34.0,41.0,27.0,16.0,2.0,40.9,Healthcare,74.0,1301,12.0,–,62.0,1273
Healthcare,Physical therapists,258.0,1.0,11.0,84.0,70.0,54.0,26.0,12.0,40.4,Healthcare,182.0,1317,64.0,1341,118.0,1297
Healthcare,Radiation therapists,10.0,0.0,0.0,5.0,4.0,0.0,1.0,0.0,0,Healthcare,11.0,–,3.0,–,8.0,–
Healthcare,Recreational therapists,7.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0,Healthcare,5.0,–,1.0,–,3.0,–
Healthcare,Respiratory therapists,100.0,0.0,2.0,28.0,25.0,19.0,17.0,10.0,43.4,Healthcare,83.0,961,27.0,–,56.0,904
Healthcare,Speech0language pathologists,141.0,1.0,5.0,43.0,45.0,23.0,16.0,8.0,40.1,Healthcare,106.0,1213,4.0,–,102.0,1214
Healthcare,Exercise physiologists,5.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0,Healthcare,5.0,–,1.0,–,3.0,–
Healthcare,"Therapists, all other",221.0,1.0,9.0,73.0,53.0,43.0,28.0,15.0,39.9,Healthcare,142.0,983,29.0,–,114.0,947
Healthcare,Veterinarians,89.0,1.0,2.0,22.0,18.0,22.0,15.0,10.0,46.3,Healthcare,60.0,1840,20.0,–,40.0,–
Healthcare,Registered nurses,3159.0,2.0,159.0,801.0,707.0,735.0,617.0,137.0,43.5,Healthcare,2536.0,1150,283.0,1260,2253.0,1143
Healthcare,Nurse anesthetists,35.0,0.0,0.0,8.0,9.0,8.0,9.0,2.0,0,Healthcare,30.0,–,13.0,–,17.0,–
Healthcare,Nurse midwives,7.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0,Healthcare,5.0,–,0.0,–,5.0,–
Healthcare,Nurse practitioners,175.0,0.0,1.0,35.0,50.0,42.0,36.0,12.0,44.7,Healthcare,141.0,1841,12.0,–,129.0,1832
Healthcare,"Health diagnosing and treating practitioners, all other",39.0,0.0,1.0,6.0,9.0,12.0,9.0,3.0,0,Healthcare,15.0,–,3.0,–,12.0,–
Healthcare,Clinical laboratory technologists and technicians,376.0,3.0,42.0,98.0,71.0,85.0,58.0,19.0,41.4,Healthcare,297.0,890,94.0,1061,203.0,845
Healthcare,Dental hygienists,168.0,0.0,10.0,46.0,34.0,36.0,35.0,7.0,43.4,Healthcare,78.0,1033,5.0,–,73.0,1028
Healthcare,Diagnostic related technologists and technicians,319.0,0.0,19.0,79.0,76.0,80.0,56.0,9.0,43.3,Healthcare,271.0,1162,85.0,1404,186.0,1041
Healthcare,Emergency medical technicians and paramedics,223.0,4.0,40.0,71.0,53.0,31.0,20.0,4.0,34.4,Healthcare,203.0,984,145.0,1119,58.0,733
Healthcare,Health practitioner support technologists and technicians,632.0,13.0,108.0,190.0,152.0,100.0,58.0,11.0,35.5,Healthcare,469.0,710,98.0,858,371.0,678
Healthcare,Licensed practical and licensed vocational nurses,630.0,5.0,50.0,148.0,145.0,141.0,105.0,37.0,42.6,Healthcare,501.0,815,62.0,817,438.0,814
Healthcare,Medical records and health information technicians,167.0,1.0,7.0,30.0,34.0,45.0,42.0,7.0,46.8,Healthcare,151.0,763,11.0,–,140.0,761
Healthcare,"Opticians, dispensing",48.0,1.0,4.0,11.0,5.0,10.0,12.0,6.0,0,Healthcare,43.0,–,13.0,–,30.0,–
Healthcare,Miscellaneous health technologists and technicians,160.0,3.0,12.0,41.0,42.0,24.0,29.0,8.0,41.1,Healthcare,143.0,811,48.0,–,95.0,746
Healthcare,Other healthcare practitioners and technical occupations,110.0,2.0,10.0,27.0,24.0,24.0,18.0,5.0,41.6,Healthcare,77.0,1183,49.0,–,28.0,–
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
