Player,Age,2017-18
Cameron Oliver,21,"$300,000 "
Demetrius Jackson,23,"$74,159 "
Isaiah Canaan,26,"$53,465 "
Demetrius Jackson,23,"$50,000 "
Briante Weber,25,"$50,000 "
Chris Johnson,27,"$25,000 "
Victor Oladipo,25,"$21,000,000 "
Thaddeus Young,29,"$14,796,348 "
Bojan Bogdanovic,28,"$10,500,000 "
Darren Collison,30,"$10,000,000 "
Al Jefferson,33,"$9,769,821 "
Cory Joseph,26,"$7,630,000 "
Lance Stephenson,27,"$4,180,000 "
Myles Turner,22,"$2,569,920 "
Domantas Sabonis,21,"$2,550,000 "
T.J. Leaf,20,"$2,028,360 "
Glenn Robinson,24,"$1,524,305 "
Joe Young,25,"$1,471,382 "
Ike Anigbogu,19,"$950,000 "
Alex Poythress,24,"$778,668 "
Monta Ellis,32,"$2,245,400 "
Damien Wilkins,38,"$2,116,955 "
Rakeem Christmas,26,"$172,552 "
Georges Niang,24,"$100,000 "
Trey McKinney-Jones,27,"$46,080 "
DeAndre Jordan,29,"$22,642,350 "
Danilo Gallinari,29,"$20,559,599 "
Tobias Harris,25,"$16,000,000 "
Austin Rivers,25,"$11,825,000 "
Avery Bradley,27,"$8,808,989 "
Boban Marjanovic,29,"$7,000,000 "
Lou Williams,31,"$7,000,000 "
Milos Teodosic,31,"$6,000,000 "
Wesley Johnson,30,"$5,881,260 "
Patrick Beverley,29,"$5,513,514 "
Sam Dekker,23,"$1,794,600 "
Montrezl Harrell,24,"$1,471,382 "
Jawun Evans,21,"$815,615 "
Sindarius Thornwell,23,"$815,615 "
Paul Pierce,40,"$1,096,080 "
Carlos Delfino,35,"$650,000 "
Jordan Farmar,31,"$510,921 "
Miroslav Raduljica,30,"$300,000 "
Sean Kilpatrick,28,"$172,238 "
Jamil Wilson,27,"$50,000 "
Brook Lopez,29,"$22,642,350 "
Kentavious Caldwell-Pope,25,"$17,745,894 "
Luol Deng,32,"$17,190,000 "
Channing Frye,34,"$7,420,912 "
Lonzo Ball,20,"$6,286,560 "
Isaiah Thomas,29,"$6,261,395 "
Brandon Ingram,20,"$5,519,400 "
Julius Randle,23,"$4,149,242 "
Tyler Ennis,23,"$1,524,305 "
Kyle Kuzma,22,"$1,423,560 "
Josh Hart,23,"$1,394,520 "
Ivica Zubac,21,"$1,312,611 "
Thomas Bryant,20,"$815,615 "
Corey Brewer,32,"$7,579,366 "
Andrew Bogut,33,"$2,328,652 "
Stephen Zimmerman,21,"$1,312,611 "
Travis Wear,27,"$148,318 "
Derrick Williams,26,"$104,059 "
Vander Blue,25,"$50,000 "
Briante Weber,25,"$50,000 "
V.J. Beachem,23,"$50,000 "
Nigel Hayes,23,"$46,080 "
Mike Conley,30,"$28,530,608 "
Chandler Parsons,29,"$23,112,004 "
Marc Gasol,33,"$22,642,350 "
JaMychal Green,27,"$8,533,333 "
Ben McLemore,25,"$5,200,000 "
Tyreke Evans,28,"$3,290,000 "
Mario Chalmers,31,"$2,106,407 "
Jarell Martin,23,"$1,471,382 "
Andrew Harrison,23,"$1,312,611 "
Wayne Selden,23,"$1,312,611 "
Deyonta Davis,21,"$1,312,611 "
Ivan Rabb,21,"$950,000 "
Dillon Brooks,22,"$815,615 "
MarShon Brooks,29,"$86,119 "
Marquis Teague,25,"$83,129 "
Brandan Wright,30,"$5,179,760 "
Wade Baldwin,22,"$1,874,400 "
Brice Johnson,23,"$1,331,160 "
Rade Zagorac,22,"$950,000 "
Briante Weber,25,"$83,129 "
Vince Hunter,23,"$50,000 "
Xavier Rathan-Mayes,23,"$46,080 "
Hassan Whiteside,28,"$23,775,506 "
Goran Dragic,31,"$17,000,450 "
James Johnson,31,"$13,954,000 "
Dion Waiters,26,"$11,000,000 "
Kelly Olynyk,26,"$10,607,169 "
Wayne Ellington,30,"$6,270,000 "
Tyler Johnson,25,"$5,881,260 "
