,,Salary,Salary,Salary,Salary,Salary,Salary,,
Kris Dunn,24,"$4,046,760 ","$4,221,000 ","$5,348,007 ",,,,1st Round pick,"$8,267,760 "
Lauri Markkanen,20,"$3,821,640 ","$4,536,120 ","$5,300,400 ","$6,731,508 ",,,1st Round Pick,"$8,357,760 "
Noah Vonleh,22,"$3,505,233 ",,,,,,1st Round Pick,"$3,505,233 "
Zach LaVine,23,"$3,202,217 ",,,,,,1st Round Pick,"$3,202,217 "
Cameron Payne,23,"$2,203,440 ","$3,263,295 ",,,,,1st round pick,"$5,466,735 "
Denzel Valentine,24,"$2,186,400 ","$2,280,600 ","$3,377,569 ",,,,1st Round pick,"$4,467,000 "
Jerian Grant,25,"$1,713,840 ","$2,639,314 ",,,,,1st Round pick,"$4,353,154 "
Bobby Portis,23,"$1,516,320 ","$2,494,346 ",,,,,1st Round pick,"$4,010,666 "
Paul Zipser,24,"$1,312,611 ","$1,544,951 ","$1,676,735 ",,,,Cap Space,"$1,312,611 "
David Nwaba,25,"$1,312,611 ",,,,,,Minimum Salary,"$1,312,611 "
Antonio Blakeney,21,TBD,,,,,,Two-Way Contract,"$50,000 "
Sean Kilpatrick,28,,,,,,,Mid-Level Exception,
Ryan Arcidiacono,24,TBD,,,,,,Two-Way Contract,"$50,000 "
Dwyane Wade,36,"$15,550,000 ",,,,,,,"$15,550,000 "
Quincy Pondexter,30,"$3,853,931 ",,,,,,,"$3,853,931 "
Rajon Rondo,32,"$3,000,000 ",,,,,,,"$3,000,000 "
Tony Allen,36,"$2,116,955 ",,,,,,,"$2,116,955 "
Willie Reed,27,"$1,577,230 ",,,,,,,"$1,577,230 "
Kay Felder,23,"$1,312,611 ","$1,544,951 ",,,,,,"$456,529 "
Isaiah Canaan,26,"$200,000 ",,,,,,,"$200,000 "
Jarell Eddie,26,"$83,129 ",,,,,,,
Diamond Stone,21,"$50,000 ",,,,,,,"$50,000 "
Jarell Eddie,26,"$17,224 ",,,,,,,"$17,224 "
C.J. Fair,26,,,,,,,,
Jaylen Johnson,21,,,,,,,,
LeBron James,33,"$33,285,709 ","$35,607,968 ",,,,,Early Bird,"$33,285,709 "
