,,Salary,Salary,Salary,Salary,Salary,Salary,,
C.J. Miles,30,"$7,936,509 ","$8,333,333 ","$8,730,158 ",,,,MLE,"$16,269,842 "
Lucas Nogueira,25,"$2,947,305 ",,,,,,1st Round Pick,"$2,947,305 "
Jakob Poeltl,22,"$2,825,640 ","$2,947,320 ","$3,754,886 ",,,,1st Round pick,"$5,772,960 "
Delon Wright,25,"$1,645,200 ","$2,536,898 ",,,,,1st Round pick,"$4,182,098 "
OG Anunoby,20,"$1,645,200 ","$1,952,760 ","$2,281,800 ","$3,872,215 ",,,1st Round Pick,"$3,597,960 "
Malachi Richardson,22,"$1,504,560 ","$1,569,360 ","$2,581,597 ",,,,1st Round pick,"$3,073,920 "
Norman Powell,24,"$1,471,382 ","$9,367,200 ","$10,116,576 ","$10,865,952 ","$11,615,328 ",,Cap Space,"$31,821,110 "
Fred VanVleet,24,"$1,312,611 ",,,,,,Minimum Salary,
Pascal Siakam,24,"$1,312,611 ","$1,544,951 ","$2,351,839 ",,,,1st Round pick,"$2,857,562 "
Alfonzo McKinnie,25,"$815,615 ","$1,378,242 ",,,,,Minimum Salary,"$815,615 "
Lorenzo Brown,27,TBD,,,,,,Two-Way Contract,"$50,000 "
Malcolm Miller,25,TBD,,,,,,Two-Way Contract,"$50,000 "
Justin Hamilton,27,"$1,000,000 ","$1,000,000 ","$1,000,000 ",,,,,"$3,000,000 "
K.J. McDaniels,25,"$100,000 ",,,,,,,"$100,000 "
Nigel Hayes,23,"$92,160 ",,,,,,,
Rudy Gobert,25,"$21,974,719 ","$23,491,573 ","$25,008,427 ","$26,525,281 ",,,1st Round Pick,"$97,000,000 "
Ricky Rubio,27,"$14,275,000 ","$14,975,000 ",,,,,1st Round Pick,"$29,250,000 "
Joe Ingles,30,"$14,136,364 ","$13,045,455 ","$11,954,546 ","$10,863,637 ",,,Bird Rights,"$50,000,002 "
Derrick Favors,26,"$12,000,000 ",,,,,,1st Round Pick,"$12,000,000 "
Alec Burks,26,"$10,845,506 ","$11,536,515 ",,,,,1st Round Pick,"$22,382,021 "
Jae Crowder,27,"$6,796,117 ","$7,305,825 ","$7,815,533 ",,,,Bird Rights,"$21,917,475 "
Thabo Sefolosha,33,"$5,250,000 ","$5,250,000 ",,,,,Cap space,"$5,250,000 "
Dante Exum,22,"$4,992,385 ",,,,,,1st Round Pick,"$4,992,385 "
Jonas Jerebko,31,"$4,000,000 ","$4,200,000 ",,,,,Cap space,"$4,000,000 "
Ekpe Udoh,30,"$3,200,000 ","$3,360,000 ",,,,,Room Exception,"$3,200,000 "
Donovan Mitchell,21,"$2,621,280 ","$3,111,480 ","$3,635,760 ","$5,195,501 ",,,1st Round Pick,"$5,732,760 "
Raul Neto,25,"$1,471,382 ",,,,,,,"$1,471,382 "
Tony Bradley,20,"$1,414,920 ","$1,679,520 ","$1,962,360 ","$3,542,060 ",,,1st Round Pick,"$3,094,440 "
Royce O'Neale,24,"$815,615 ","$1,378,242 ","$1,618,520 ",,,,Cap space,"$815,615 "
David Stockton,26,"$148,318 ",,,,,,10-Day Contract,
Georges Niang,24,TBD,,,,,,Two-Way Contract,TBD
Erik McCree,24,TBD,,,,,,Two-Way Contract,TBD
Derrick Rose,29,"$2,116,955 ",,,,,,,"$2,116,955 "
Joel Bolomboy,24,"$1,312,611 ",,,,,,,"$1,312,611 "
Naz Mitrou-Long,24,"$92,160 ",,,,,,,
Nate Wolters,26,"$50,000 ",,,,,,,"$50,000 "
Naz Mitrou-Long,24,"$50,000 ",,,,,,,"$50,000 "
Eric Griffin,27,"$50,000 ",,,,,,,"$50,000 "
Otto Porter,24,"$24,773,250 ","$26,011,913 ","$27,250,576 ","$28,489,239 ",,,Bird Rights,"$78,035,739 "
Bradley Beal,24,"$23,775,506 ","$25,434,263 ","$27,093,019 ","$28,751,775 ",,,Cap Space,"$105,054,563 "
John Wall,27,"$18,063,850 ","$19,169,800 ","$37,800,000 ","$40,824,000 ","$43,848,000 ","$46,872,000 ",Bird Rights,"$159,705,650 "
Ian Mahinmi,31,"$16,661,641 ","$15,944,154 ","$15,450,051 ",,,,Cap Space,"$48,055,846 "
Marcin Gortat,34,"$12,782,609 ","$13,565,218 ",,,,,Bird Rights,"$26,347,827 "
Markieff Morris,28,"$8,000,000 ","$8,600,000 ",,,,,Bird Rights,"$16,600,000 "
Jason Smith,32,"$5,225,000 ","$5,450,000 ",,,,,Cap Space,"$5,225,000 "
Jodie Meeks,30,"$3,290,000 ","$3,454,500 ",,,,,Bi-annual Exception,"$3,290,000 "
Tomas Satoransky,26,"$3,000,000 ","$3,129,187 ",,,,,Cap Space,"$6,129,187 "
Kelly Oubre,22,"$2,093,040 ","$3,208,630 ",,,,,1st round pick,"$5,301,670 "
Tim Frazier,27,"$2,000,000 ",,,,,,Room exception,"$2,000,000 "
Mike Scott,29,"$1,709,538 ",,,,,,Minimum Salary,"$1,709,538 "
Chris McCullough,23,"$1,471,382 ",,,,,,1st Round pick,"$1,471,382 "
Devin Robinson,23,TBD,,,,,,Two-Way Contract,"$50,000 "
Ramon Sessions,31,,,,,,,,
Martell Webster,31,"$830,000 ","$830,000 ",,,,,,"$1,660,000 "
