,,Salary,Salary,Salary,Salary,Salary,Salary,,
Miroslav Raduljica\radulmi01,30,$300000,$300000,,,,,,$600000
Sean Kilpatrick\kilpase01,28,$172238,,,,,,,
Jamil Wilson\wilsoja02,27,$50000,,,,,,,$50000
Brook Lopez\lopezbr01,29,$22642350,,,,,,Bird Rights,$22642350
Kentavious Caldwell-Pope\caldwke01,25,$17745894,,,,,,Cap space,$17745894
Luol Deng\denglu01,32,$17190000,$18000000,$18810000,,,,Cap Space,$54000000
Channing Frye\fryech01,34,$7420912,,,,,,Cap Space,$7420912
Lonzo Ball\balllo01,20,$6286560,$7461960,$8719320,$11003782,,,1st Round Pick,$13748520
Isaiah Thomas\thomais02,29,$6261395,,,,,,,$6261395
Brandon Ingram\ingrabr01,20,$5519400,$5757120,$7265485,,,,1st Round pick,$11276520
Julius Randle\randlju01,23,$4149242,,,,,,1st Round Pick,$4149242
Tyler Ennis\ennisty01,23,$1524305,$1656092,,,,,Minimum Salary,$1524305
Kyle Kuzma\kuzmaky01,22,$1423560,$1689840,$1974600,$3562178,,,1st Round Pick,$3113400
Josh Hart\hartjo01,23,$1394520,$1655160,$1934160,$3491159,,,1st Round Pick,$3049680
Ivica Zubac\zubaciv01,21,$1312611,$1544951,,,,,Cap Space,$1312611
Thomas Bryant\bryanth01,20,$815615,$1378242,,,,,Minimum Salary,$815615
Gary Payton\paytoga02,25,TBD,,,,,,Two-Way Contract,TBD
Travis Wear\weartr01,27,,,,,,,,
Corey Brewer\breweco01,32,$7579366,,,,,,,$7579366
Andrew Bogut\bogutan01,33,$2328652,,,,,,,
Stephen Zimmerman\zimmest01,21,$1312611,,,,,,,
Travis Wear\weartr01,27,$148318,,,,,,,
Derrick Williams\willide02,26,$104059,,,,,,,
Vander Blue\blueva01,25,$50000,,,,,,,$50000
Briante Weber\weberbr01,25,$50000,,,,,,,$50000
V.J. Beachem\beachvj01,23,$50000,,,,,,,$50000
Nigel Hayes\hayesni01,23,$46080,,,,,,,$46080
Vander Blue\blueva01,25,,,,,,,,
Mike Conley\conlemi01,30,$28530608,$30521115,$32511623,$34504132,,,Cap Space,$113989729
Chandler Parsons\parsoch01,29,$23112004,$24107258,$25102511,,,,Cap Space,$72321773
Marc Gasol\gasolma01,33,$22642350,$24119025,$25595700,,,,Bird Rights,$46761375
