Player,Age,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Doug McDermott,26,3294994,2483040,2380440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dennis Smith,20,3218280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seth Curry,27,3028410,2898000,947276,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salah Mejri,31,1471382,874636,525093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yogi Ferrell,24,1312611,239767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dorian Finney-Smith,24,1312611,543471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maxi Kleber,26,815615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh McRoberts,31,6021175,5782450,5543725,5305000,0,0,3000000,885120,825497,711517,427163,0,0,0,0,0,0,0,0
Jeff Withey,28,1577320,1015696,947276,816482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gal Mekel,30,315760,315760,315760,816482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gian Clavell,24,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Millsap,33,31269231,20072033,0,9500000,9500000,8603633,8103435,7600000,7692932,797581,687456,0,0,0,0,0,0,0,0
Mason Plumlee,28,14041096,2328530,1415520,1357080,1298640,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenneth Faried,28,12921348,12078652,11235955,2249768,1367640,1348800,1254720,0,0,0,0,0,0,0,0,0,0,0,0
Wilson Chandler,30,12016854,11200000,10500000,6757913,6344164,5930414,0,2130482,1255440,1173480,1091640,0,0,0,0,0,0,0,0
Darrell Arthur,30,7464912,8070175,2814000,3457149,3231683,3006217,2027119,1123680,1050480,977160,0,0,0,0,0,0,0,0,0
Devin Harris,35,4402546,4228000,4053000,3878000,1272279,8500000,9319000,8981000,8400000,7800000,3995003,0,2947440,2741880,0,0,0,0,0
Will Barton,27,3533333,3533333,3333333,915243,788872,550000,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamal Murray,21,3355320,3210840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gary Harris,23,2550055,1655880,1587480,1519200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trey Lyles,22,2441400,2340600,2239800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juan Hernangomez,22,2076840,1987440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malik Beasley,21,1700640,1627320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Lydon,21,1579440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
