Player,Age,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Joe Ingles,30,14136364,2250000,2250000,507336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derrick Favors,26,12000000,11050000,11933333,12833333,6008196,4753320,4443360,4133280,0,0,0,0,0,0,0,0,0,0,0
Alec Burks,26,10845506,10154495,9213484,3034356,2202000,2171640,2020200,0,0,0,0,0,0,0,0,0,0,0,0
Jae Crowder,27,6796117,6286408,6000000,915243,788872,600491,0,0,0,0,0,0,0,0,0,0,0,0,0
Thabo Sefolosha,33,5250000,3850000,4000000,4150000,3900000,3600000,3300000,3250000,2759628,1931160,1805160,1679280,0,0,0,0,0,0,0
Dante Exum,22,4992385,3940320,3777720,3615000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonas Jerebko,31,4000000,5000000,5000000,4500000,4500000,0,4500000,0,457588,0,0,0,0,0,0,0,0,0,0
Ekpe Udoh,30,3200000,0,0,981084,4469548,3524880,3294960,3065040,0,0,0,0,0,0,0,0,0,0,0
Donovan Mitchell,21,2621280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raul Neto,25,1471382,937800,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony Bradley,20,1414920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derrick Rose,29,2116955,21323250,20093063,0,17632688,16402500,6993708,5546160,5184480,4822800,0,0,0,0,0,0,0,0,0
Otto Porter,24,24773250,5893981,4662960,4470480,4278000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bradley Beal,24,23775506,22116750,5694674,4505280,4319280,4133280,0,0,0,0,0,0,0,0,0,0,0,0,0
John Wall,27,18063850,16957900,15851950,14746000,7459925,5915880,5530080,5144280,0,0,0,0,0,0,0,0,0,0,0
Ian Mahinmi,31,16661641,15944154,4000000,4000000,4000000,4000000,0,762196,1079640,1009200,938760,0,0,0,0,0,0,0,0
Marcin Gortat,34,12782609,12000000,11217391,10434782,7727280,7258960,6790640,0,5854000,711517,427163,0,0,0,0,0,0,0,0
Markieff Morris,28,8000000,7400000,8000000,2989239,2091840,2063040,1919160,0,0,0,0,0,0,0,0,0,0,0,0
Jason Smith,32,5225000,5000000,4300000,3278000,2500000,2500000,2500000,2187913,1418880,1326360,0,0,0,0,0,0,0,0,0
Jodie Meeks,30,3290000,6540000,6270000,6000000,1550000,1500000,854389,762195,650000,0,0,0,0,0,0,0,0,0,0
Tomas Satoransky,26,3000000,2870813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelly Oubre,22,2093040,2006640,1920240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Frazier,27,2000000,2090000,144157,59686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Scott,29,1709538,3333334,3333333,3333333,788872,473604,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris McCullough,23,1471382,1191480,1140240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martell Webster,31,830000,830000,5613500,5381750,5150000,600000,5256000,4800000,4344000,3771133,2974080,2780160,2586120,0,0,0,0,0,0
