ATLANTA HAWKS,Salary,Salary,Salary,Salary,Salary,Salary,,,
Kyle Korver\korveky01,37,"$7,000,000 ","$7,560,000 ","$7,500,000 ",,,,Bird Rights,"$18,000,000 "
Cedi Osman\osmande01,22,"$2,642,857 ","$2,775,000 ","$2,907,143 ",,,,MLE,"$8,325,000 "
Rodney Hood\hoodro01,25,"$2,386,864 ",,,,,,1st Round Pick,"$2,386,864 "
Jose Calderon\caldejo01,36,"$2,328,652 ",,,,,,Minimum Salary,"$2,328,652 "
Jeff Green\greenje02,31,"$2,116,955 ",,,,,,Minimum Salary,"$2,116,955 "
Ante Zizic\zizican01,21,"$1,645,200 ","$1,952,760 ","$2,281,800 ","$3,872,215 ",,,1st Round Pick,"$3,597,960 "
Larry Nance\nancela02,25,"$1,471,382 ","$2,272,391 ",,,,,1st Round pick,"$3,743,773 "
London Perrantes\perralo01,23,TBD,,,,,,Two-Way Contract,"$74,718 "
John Holland\hollajo02,29,TBD,,,,,,Two-Way Contract,"$50,000 "
Okaro White\whiteok01,25,"$74,159 ",,,,,,,
Marcus Thornton\thornma02,25,"$46,080 ",,,,,,,
Team Totals,,"$137,362,708 ","$137,976,709 ","$103,941,273 ","$3,872,215 ",,,,"$282,929,701 "
DALLAS MAVERICKS,Salary,Salary,Salary,Salary,Salary,Salary,,,
Player,Age,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,Signed Using,Guaranteed
Harrison Barnes\barneha02,25,"$23,112,004 ","$24,107,258 ","$25,102,512 ",,,,Cap Space,"$47,219,262 "
Wesley Matthews\matthwe02,31,"$17,884,176 ","$18,622,514 ",,,,,Cap Space,"$17,884,176 "
Dwight Powell\poweldw01,26,"$9,003,125 ","$9,631,250 ","$10,259,375 ",,,,Cap Space,"$18,634,375 "
Dirk Nowitzki\nowitdi01,39,"$5,000,000 ","$5,000,000 ",,,,,Cap space,"$5,000,000 "
Nerlens Noel\noelne01,23,"$4,187,599 ",,,,,,1st Round Pick,"$4,187,599 "
J.J. Barea\bareajo01,33,"$3,903,900 ","$3,710,850 ",,,,,Cap Space,"$7,614,750 "
Doug McDermott\mcderdo01,26,"$3,294,994 ",,,,,,1st Round Pick,"$3,294,994 "
